id,name,path_name,updated_at
109,ディスプレイケーブル,"スマホ、タブレット、パソコン > パソコン周辺機器 > PCケーブル、コネクタ > ディスプレイケーブル",2014-09-10
110,"パソコン用RS-232Cケーブル","スマホ、タブレット、パソコン > パソコン周辺機器 > PCケーブル、コネクタ > RS－232Cケーブル",2012-12-19
111,"パソコン用SCSIケーブル","スマホ、タブレット、パソコン > パソコン周辺機器 > PCケーブル、コネクタ > SCSIケーブル",2012-12-19
112,"PCケーブル、コネクタ その他","スマホ、タブレット、パソコン > パソコン周辺機器 > PCケーブル、コネクタ > その他PCケーブル、コネクタ",2015-09-29
120,プリンターカバー,"スマホ、タブレット、パソコン > プリンター、複合機 > プリンター周辺機器、アクセサリー > プリンターカバー",2014-09-03
123,DVD、CDケース,"スマホ、タブレット、パソコン > サプライ、OA用品 > DVD、CDケース",2014-09-03
126,コピー機トナー、トナーカートリッジ,"DIY、工具 > オフィス用品 > コピー機 > トナー、トナーカートリッジ",2014-10-03
128,プリンター周辺機器、アクセサリーその他,"スマホ、タブレット、パソコン > プリンター、複合機 > プリンター周辺機器、アクセサリー > その他プリンター周辺機器、アクセサリー",2015-09-29
130,液晶保護フィルム、シート（PC用）,"スマホ、タブレット、パソコン > パソコン周辺機器 > ディスプレイ、モニター > 液晶保護フィルム、シート（PC用）",2015-09-29
131,ディスプレイカバー,"スマホ、タブレット、パソコン > パソコン周辺機器 > ディスプレイ、モニター > ディスプレイカバー",2014-09-03
141,CDーRW（データ用）,"スマホ、タブレット、パソコン > データ用メディア > CDーRW（データ用）",2015-09-29
142,DVDーR（録画用）,"テレビ、オーディオ、カメラ > ブルーレイ、DVDレコーダー > 録画用メディア > DVDーR（録画用）",2015-08-25
143,DAT,"スマホ、タブレット、パソコン > データ用メディア > DAT",2014-09-03
144,MO,"スマホ、タブレット、パソコン > データ用メディア > MO",2014-09-03
145,フロッピーディスク,"スマホ、タブレット、パソコン > データ用メディア > フロッピーディスク",2014-09-03
148,"PC用工具 その他","スマホ、タブレット、パソコン > PCパーツ > 工具 > その他",2014-09-03
153,IME、日本語入力システム,"スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > IME、日本語入力システム",2014-09-10
156,"パソコン用エミュレーターソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > エミュレーター",2012-12-19
157,画像ビューア,"スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > 画像ビューア",2014-09-03
164,"バックアップソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > バックアップソフト",2014-09-10
165,"ファイルコンバータ、データ変換ソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > データ変換、コンバータ",2014-09-10
167,フォント集,"スマホ、タブレット、パソコン > ソフトウェア > データ、素材集ソフト > フォント集",2014-09-03
169,"リッピングソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > リッピング",2014-09-03
173,"スマホユーティリティソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > スマホユーティリティ",2015-09-30
175,"ユーティリティソフト その他","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > その他ユーティリティソフト",2015-09-30
177,"PC用アクションゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > アクション",2014-09-03
178,"PC用アドベンチャーゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > アドベンチャー",2014-09-03
179,"PC用シミュレーションゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > シミュレーション",2014-09-03
180,"PC用シューティングゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > シューティング",2014-09-03
181,"PC用スポーツゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > スポーツ",2014-10-24
182,"PC用テーブルゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > テーブル",2014-09-10
183,"PC用パズルゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > パズル",2014-09-10
184,"PC用ロールプレイングゲームソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > ロールプレイング",2014-09-10
185,"PC用将棋ソフト","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > 将棋",2014-09-10
186,"PCゲームソフト その他","スマホ、タブレット、パソコン > ソフトウェア > PCゲーム > その他PCゲームソフト",2015-09-30
189,"アニメ作成ソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > アニメ作成",2014-09-10
190,"オーサリングソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > オーサリング",2014-09-03
192,"ビデオ、動画編集ソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > ビデオ、動画編集",2014-09-10
193,"ペイントソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > ペイント",2014-09-10
194,"画像管理、写真整理ソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > 画像管理、写真整理",2014-09-10
197,"3D、3DCGソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > 3D、3DCG",2014-09-10
198,"写真、画像加工編集ソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > 写真、画像加工編集",2014-09-10
199,"動画、画像、音楽ソフトその他","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > その他動画、画像、音楽ソフト",2015-09-30
201,"ソフトウエア音源","楽器、手芸、コレクション > 楽器、器材 > DTM、DAW > ソフトウエア音源",2016-02-19
202,イラスト素材、データ,"スマホ、タブレット、パソコン > ソフトウェア > データ、素材集ソフト > イラスト素材",2014-09-10
203,音楽素材、データ,"スマホ、タブレット、パソコン > ソフトウェア > データ、素材集ソフト > 音楽素材",2014-09-10
204,動画素材、データ,"スマホ、タブレット、パソコン > ソフトウェア > データ、素材集ソフト > 動画素材",2014-09-10
205,画像(写真)素材、データ,"スマホ、タブレット、パソコン > ソフトウェア > データ、素材集ソフト > 画像（写真）素材",2014-09-10
206,"データ、素材集ソフト その他","スマホ、タブレット、パソコン > ソフトウェア > データ、素材集ソフト > その他データ、素材集ソフト",2015-09-30
207,OS(オペレーティングシステム),"スマホ、タブレット、パソコン > ソフトウェア > オペレーティングシステム",2014-09-10
210,"LAN、WANソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > LAN、WAN",2014-09-03
212,"ネットワークセキュリティ管理ソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > セキュリティ管理",2014-09-03
213,データ検索,"スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > データ検索",2014-09-08
214,"ネットワーク監視ソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > ネットワーク監視",2014-09-10
215,パフォーマンス管理ツール,"スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > パフォーマンス管理",2014-09-03
216,ファイル転送,"スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > ファイル転送",2012-12-19
217,リモートコントロール,"スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > リモートコントロール",2012-12-19
218,"障害監視ツールソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > 障害監視ツール",2014-09-10
221,"FAXソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > FAX",2014-09-03
224,"アンチウィルス、ウィルス対策ソフト","スマホ、タブレット、パソコン > ソフトウェア > セキュリティソフト > ウィルス対策",2014-09-10
225,グループウェア,"スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > グループウェア",2014-09-03
226,"総合セキュリティ対策ソフト","スマホ、タブレット、パソコン > ソフトウェア > セキュリティソフト > 総合セキュリティ対策",2014-09-10
228,"ホームページ作成ソフト","スマホ、タブレット、パソコン > ソフトウェア > ユーティリティソフト > ホームページ作成",2014-09-10
243,"ワープロ検定練習用ソフト","スマホ、タブレット、パソコン > ソフトウェア > 資格、キャリアアップソフト > ワープロ検定",2014-09-10
244,"建築士試験勉強用ソフト","スマホ、タブレット、パソコン > ソフトウェア > 資格、キャリアアップソフト > 建築士",2014-09-10
245,"ITパスポート試験勉強用ソフト","スマホ、タブレット、パソコン > ソフトウェア > 資格、キャリアアップソフト > ITパスポート",2014-09-10
246,"社労士試験勉強用ソフト","スマホ、タブレット、パソコン > ソフトウェア > 資格、キャリアアップソフト > 社労士",2014-09-10
247,"健康管理、医学辞典ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 健康管理、医学辞典ソフト",2015-09-30
248,"語学、英語学習ソフト その他","スマホ、タブレット、パソコン > ソフトウェア > 語学、英語学習 > その他語学学習ソフト",2015-09-30
250,"百科事典、辞書ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 百科事典、辞書ソフト",2015-09-30
251,"地図、地図作成ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 地図、地図作成ソフト",2015-09-30
252,"電話帳、住所録ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 電話帳、住所録ソフト",2015-09-30
253,"資格、キャリアアップソフト その他","スマホ、タブレット、パソコン > ソフトウェア > 資格、キャリアアップソフト > その他資格、キャリアアップソフト",2015-09-30
255,"CADソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > CAD",2014-09-10
256,"DTPソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > DTP",2014-09-03
257,"OCRソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > OCR",2014-09-03
258,"オフィスソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > オフィスソフト",2014-09-10
259,"グラフ作成ソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > グラフ作成",2014-09-10
260,ビジネステンプレート,"スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > ビジネステンプレート",2014-09-10
261,"データベースソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > データベース",2014-09-03
262,"プレゼンテーションソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > プレゼンテーション",2014-09-10
263,"プロジェクト管理ソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > プロジェクト管理",2014-09-03
264,"ワープロソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > ワープロ",2014-09-03
265,"アウトラインプロセッサ、マインドマップソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > アウトラインプロセッサ",2014-09-10
